index,caption_key,original_filename,preprocessed_file,subject,style_tags,training_caption,pixel_mean_abs_diff
355,00355,img_3_1_0270.p(2846)_Scan_edit.jpg,00355.png,still life with bottle and cookies,still life|ink wash|negative space,"A still life composition featuring a bottle and a glass placed centrally, with a stack of cookies and a bundle of cinnamon sticks on a table. The ink wash technique uses fine, controlled brush strokes and varying ink densities to create texture and depth. The use of negative space emphasizes the simplicity and tranquility of the scene, still life, ink wash, negative space, traditional ink wash painting",0.0
356,00356,img_3_1_0083(744)_Scan_edit.jpg,00356.png,fire hydrant,monochrome|detailed|industrial,"A fire hydrant stands centrally, depicted with precise ink strokes and subtle gradients. The artist uses varying ink densities to highlight the hydrant's metallic texture and intricate details, such as the chain and bolts. The monochrome palette enhances the industrial feel, while the use of negative space adds depth and focus, monochrome, detailed, industrial, traditional ink wash painting",0.0
357,00357,img_3_1_0479(1437)_Scan_edit.jpg,00357.png,slotted spatula,minimalism|realism|negative space,"A slotted spatula is depicted diagonally across the canvas, with the handle extending to the upper right. The brushwork is precise, using dense black ink for the spatula head and lighter washes for the handle, creating a realistic metallic sheen. The negative space emphasizes the utensil's form, lending a minimalist and contemplative atmosphere, minimalism, realism, negative space, traditional ink wash painting",0.0
358,00358,img_1_1_0079.p(1915)_Scan_edit.jpg,00358.png,mountain landscape with cabin,landscape|ink wash|tranquil,"A serene mountain landscape with a small cabin nestled among tall pine trees, positioned centrally with mountains in the background. The brushwork features soft, flowing strokes for the mountains and dense, textured strokes for the trees, creating a contrast in ink density. The use of negative space enhances the tranquil atmosphere, with subtle gradients suggesting depth, landscape, ink wash, tranquil, traditional ink wash painting",0.0
359,00359,img_2_1_0097.p(3760)_Scan_edit.jpg,00359.png,portrait with flowing hair,portrait|fine brushwork|monochrome,"A portrait of a person with long, flowing hair covering part of the face, positioned centrally. The ink wash technique uses fine, intricate brush strokes to detail the hair, with varying ink densities creating depth and texture. The facial features are delicately outlined, emphasizing a contemplative mood. The monochrome palette enhances the serene atmosphere, portrait, fine brushwork, monochrome, traditional ink wash painting",0.0
360,00360,img_1_1_0256(6038)_Scan_edit.jpg,00360.png,lakeside gazebo and pier,serene|delicate brushwork|tranquil,"A serene lakeside scene with a wooden gazebo on the left, connected by a pier extending over the water. Delicate brush strokes depict the gazebo and pier, while soft gradients capture the reflections in the water. Birds fly in the distance, and leafy branches frame the top right, adding depth. The atmosphere is tranquil and contemplative, serene, delicate brushwork, tranquil, traditional ink wash painting",0.0
361,00361,img_2_1_0717(3304)_Scan_edit.jpg,00361.png,,,,0.0
362,00362,img_1_1_0298.p(5967)_Scan_edit.jpg,00362.png,seascape with waves and rocks,dynamic|bold brushwork|dramatic,"A dynamic seascape with crashing waves against rugged rocks in the foreground, viewed from a low angle. The artist uses bold, sweeping brush strokes to capture the movement of the water, with varying ink densities creating depth and texture. The sky is rendered with soft washes, adding a sense of drama and energy to the scene, dynamic, bold brushwork, dramatic, traditional ink wash painting",0.0
363,00363,img_3_1_0089(1020)_Scan_edit.jpg,00363.png,flowers in vase,ink wash|delicate brushwork|serene,"A bouquet of flowers in a tall vase is centrally placed, accompanied by a smaller glass with water and leaves. The ink wash technique uses soft gradients and delicate brush strokes to capture the petals' texture, with varying ink densities creating depth. The composition exudes a serene and contemplative atmosphere, ink wash, delicate brushwork, serene, traditional ink wash painting",0.0
364,00364,img_3_1_0159.p(349)_Scan_edit.jpg,00364.png,video game controller,modern|dynamic|monochrome,"A video game controller is centrally placed, depicted with bold, confident brush strokes. The ink density varies, creating a sense of depth and texture on the buttons and joysticks. The use of negative space highlights the controller's contours, while subtle gradients suggest a reflective surface. The mood is modern and dynamic, modern, dynamic, monochrome, traditional ink wash painting",0.0
365,00365,img_3_1_0369(1464)_Scan_edit.jpg,00365.png,disinfectant wipes,monochrome|ink wash|detailed,"A pack of disinfectant wipes is centrally placed, with one wipe partially pulled out, accompanied by a single loose wipe to the side. The ink wash technique uses dense, controlled strokes to define the packaging, while lighter washes create subtle gradients on the wipes, emphasizing texture and form. The composition conveys a sense of cleanliness and utility, monochrome, ink wash, detailed, traditional ink wash painting",0.0
366,00366,img_2_1_0059(1081)_Scan_edit.jpg,00366.png,young child with bow,portrait|soft brushwork|negative space,"A young child with a large bow in her hair is centered in the composition, depicted with soft, fluid brush strokes. The ink varies in density, creating depth in the facial features and texture in the clothing. The use of negative space highlights the child's expression, evoking a gentle and serene atmosphere, portrait, soft brushwork, negative space, traditional ink wash painting",0.0
367,00367,img_2_1_0149.p(3500)_Scan_edit.jpg,00367.png,person in cloak,portrait|ink wash|monochrome,"A portrait of a person in a cloak, centered and facing forward. The ink wash technique uses fine, controlled brush strokes to define facial features and clothing folds, with varying ink densities creating depth and texture. The monochrome palette enhances the serene and contemplative mood, portrait, ink wash, monochrome, traditional ink wash painting",0.0
368,00368,img_1_1_0324.p(6169)_Scan_edit.jpg,00368.png,mountain range,landscape|brushwork|monochrome,"A rugged mountain range stretches across the middle ground, with intricate horizontal brush strokes defining the rocky textures. The sky above is filled with dynamic cloud formations, created using soft, diffused ink washes. The foreground features scattered rocks and vegetation, depicted with detailed, varied brushwork. The monochrome palette and fluid strokes evoke a sense of natural majesty and tranquility, landscape, brushwork, monochrome, traditional ink wash painting",0.0
369,00369,img_3_1_0285.p(1036)_Scan_edit.jpg,00369.png,modern sectional sofa,minimalist|monochrome|controlled brushwork,"A modern sectional sofa is depicted in the center, using soft, controlled brush strokes to convey its plush texture. The ink density varies subtly, creating depth and dimension, while the negative space around the sofa enhances its form. The monochrome palette adds a serene and minimalist atmosphere, minimalist, monochrome, controlled brushwork, traditional ink wash painting",0.0
370,00370,img_2_1_0705(7377)_Scan_edit.jpg,00370.png,woman in relaxed pose,portrait|ink wash|soft brushwork,"A woman stands in a relaxed pose, centered in the composition, with her hand raised to her forehead. The ink wash technique uses soft, flowing brush strokes to capture the texture of her hair and clothing. The monochrome palette emphasizes the gentle gradients and subtle details, creating a calm and introspective atmosphere, portrait, ink wash, soft brushwork, traditional ink wash painting",0.0
371,00371,img_1_1_0093.p(6275)_Scan_edit.jpg,00371.png,waterfall and rocks,ink wash|landscape|serene,"A serene waterfall cascades over rocks in the foreground, framed by trees and distant hills. The ink wash technique uses fluid brush strokes to depict the flowing water, with varying ink densities creating depth and texture. The use of negative space enhances the tranquil atmosphere, while subtle gradients suggest movement and light, ink wash, landscape, serene, traditional ink wash painting",0.0
372,00372,img_1_1_0352(2013)_Scan_edit.jpg,00372.png,mountain range,landscape|textured|contrast,"A rugged mountain range dominates the center, with intricate brushwork creating a textured surface. The dense ink strokes form a dramatic contrast against the lighter wash of the foreground, suggesting a misty atmosphere. The use of negative space enhances the sense of isolation and grandeur, landscape, textured, contrast, traditional ink wash painting",0.0
373,00373,img_1_1_0056(6263)_Scan_edit.jpg,00373.png,lakeside pier,landscape|ink wash|tranquil,"A serene lakeside scene with a wooden pier extending into the water, viewed from the shore. The ink wash technique uses varied brush strokes to depict the texture of the pier and the gentle ripples on the lake. The background features softly rendered mountains and clouds, creating a tranquil atmosphere with subtle gradients and negative space, landscape, ink wash, tranquil, traditional ink wash painting",0.0
374,00374,img_1_1_0211(2029)_Scan_edit.jpg,00374.png,mountain landscape,landscape|brushwork|contrast,"A vast mountain landscape stretches across the foreground, with rugged cliffs and dense foliage rendered in bold, dark brush strokes. The sky above is filled with dynamic cloud formations, depicted using soft, diluted ink washes that create a sense of depth and movement. The composition conveys a serene yet dramatic atmosphere, emphasizing the contrast between the solid earth and the fluid sky, landscape, brushwork, contrast, traditional ink wash painting",0.0
375,00375,img_1_1_0009(772)_Scan_edit.jpg,00375.png,rock formation,landscape|texture|negative space,"A towering rock formation dominates the foreground, with rugged brush strokes creating texture and depth. The background features distant mountains and a cloudy sky, rendered with soft washes and subtle gradients. The use of negative space enhances the vastness of the landscape, evoking a serene and contemplative mood, landscape, texture, negative space, traditional ink wash painting",0.0
376,00376,img_1_1_0069.p(1205)_Scan_edit.jpg,00376.png,mountain peaks and clouds,landscape|monochrome|atmospheric,"Towering mountain peaks rise prominently in the foreground, surrounded by swirling clouds rendered with soft, diffused brush strokes. The background features distant ridges, subtly defined with lighter ink washes, creating a sense of depth and ethereal atmosphere. The use of negative space enhances the contrast between the rugged terrain and the sky, landscape, monochrome, atmospheric, traditional ink wash painting",0.0
377,00377,img_3_1_0373(1489)_Scan_edit.jpg,00377.png,xylophone with mallets,monochrome|precise brushwork|textured,"A xylophone with mallets is centered, depicted with precise ink strokes and subtle shading. The bars are rendered with varying ink densities, creating a sense of texture and depth. The mallets cross beneath the instrument, adding balance to the composition. The monochrome palette and delicate brushwork evoke a serene and contemplative atmosphere, monochrome, precise brushwork, textured, traditional ink wash painting",0.0
378,00378,img_2_1_0094.p(1823)_Scan_edit.jpg,00378.png,,,,0.0
379,00379,img_2_1_0098(3423)_Scan_edit.jpg,00379.png,,,,0.0
380,00380,img_1_1_0055(5210)_Scan_edit.jpg,00380.png,solitary tree and landscape,monochrome|ink wash|negative space,"A solitary tree stands on the left foreground, its branches intricately detailed with fine brush strokes. The background features a serene landscape with distant hills and a calm body of water, rendered with soft ink washes and subtle gradients. The use of negative space enhances the tranquil atmosphere, monochrome, ink wash, negative space, traditional ink wash painting",0.0
381,00381,img_1_1_0409(5364)_Scan_edit.jpg,00381.png,twisted barren trees,landscape|ink wash|contrast,"A landscape with twisted, barren trees dominates the foreground, their gnarled branches reaching across the scene. The ink wash technique uses bold, dark strokes for the trees, contrasting with softer, lighter washes in the background hills and sky. The composition evokes a sense of desolation and stark beauty, landscape, ink wash, contrast, traditional ink wash painting",0.0
382,00382,img_2_1_0333(841)_Scan_edit.jpg,00382.png,young child in profile,portrait|ink wash|expressive,"A young child in profile view, wearing a hat, is depicted with soft, expressive brush strokes. The ink wash technique highlights the gentle contours of the face, using varying ink densities to create depth and shadow. The negative space emphasizes the child's contemplative expression, evoking a serene and introspective mood, portrait, ink wash, expressive, traditional ink wash painting",0.0
383,00383,img_2_1_0235.p(4654)_Scan_edit.jpg,00383.png,,,,0.0
384,00384,img_1_1_0356(4187)_Scan_edit.jpg,00384.png,landscape with tree and mountains,landscape|ink wash|tranquil,"A serene landscape with a large tree in the foreground on the left, overlooking a valley with small houses and distant mountains. The ink wash technique uses varied brush strokes to depict the tree's foliage and the rugged mountain textures, with soft gradients creating depth in the background. The atmosphere is tranquil and expansive, landscape, ink wash, tranquil, traditional ink wash painting",0.0
385,00385,img_3_1_0651(4232)_Scan_edit.jpg,00385.png,traditional Korean drum,ink wash|bold strokes|traditional,"A traditional Korean drum, or 'buk', is centrally placed, supported by an ornate wooden frame with dragon motifs. The ink wash technique uses bold, dark strokes to define the drum and frame, with subtle gradients for texture. The composition emphasizes the intricate carvings and the drum's circular form, creating a harmonious and balanced atmosphere, ink wash, bold strokes, traditional, traditional ink wash painting",0.0
386,00386,img_2_1_0112.p(2157)_Scan_edit.jpg,00386.png,child holding baby,portrait|delicate|serene,"A young child holding a sleeping baby, centered in the composition. The ink wash technique uses soft, delicate brush strokes to capture the gentle expressions and fine details of the children's features. Light ink gradients create a serene and tender atmosphere, with subtle shading enhancing the depth and warmth of the scene, portrait, delicate, serene, traditional ink wash painting",0.0
387,00387,img_3_1_0623(2885)_Scan_edit.jpg,00387.png,payphone with birds,detailed|negative space|nostalgic,"A detailed ink wash painting of an old payphone with two birds perched on top, centered in the composition. The brushwork is intricate, with fine lines and varying ink density capturing the texture of the phone and birds. The use of negative space enhances the focus on the central elements, creating a nostalgic and contemplative mood, detailed, negative space, nostalgic, traditional ink wash painting",0.0
388,00388,img_2_1_0302(4021)_Scan_edit.jpg,00388.png,person with glasses,portrait|detailed|monochrome,"A portrait of a person with long hair and glasses, centered and facing forward. The ink wash technique uses fine, detailed brush strokes to capture the texture of the hair and the reflective quality of the glasses. The monochrome palette emphasizes the contrast between the dark hair and light skin, creating a contemplative and serene atmosphere, portrait, detailed, monochrome, traditional ink wash painting",0.0
389,00389,img_1_1_0195.p(5322)_Scan_edit.jpg,00389.png,mountain range,landscape|mountains|monochrome,"A majestic mountain range dominates the upper half of the composition, with rugged peaks rendered in bold, textured brush strokes. The lower section features softer, more fluid strokes depicting foothills and sparse vegetation. The monochrome ink wash creates a serene and timeless atmosphere, with subtle gradients suggesting depth and distance, landscape, mountains, monochrome, traditional ink wash painting",0.0
390,00390,img_2_1_0086(5712)_Scan_edit.jpg,00390.png,,,,0.0
391,00391,img_1_1_0125.p(6002)_Scan_edit.jpg,00391.png,seascape with waves and rocks,dynamic|bold brushwork|dramatic,"A dynamic seascape with crashing waves against rugged rocks, positioned in the foreground. The artist uses bold, sweeping brush strokes to depict the turbulent sea, with varying ink densities creating depth and movement. Soft wash gradients form the cloudy sky, enhancing the dramatic atmosphere. Sparse use of negative space highlights the contrast between the waves and rocks, dynamic, bold brushwork, dramatic, traditional ink wash painting",0.0
392,00392,img_2_1_0386(512)_Scan_edit.jpg,00392.png,young child with hood,portrait|fine lines|negative space,"A young child with a hood, centered in the composition, gazes forward. The ink wash technique uses fine, delicate lines for facial features and hair, while the hood and clothing are outlined with bolder strokes. The background is left as negative space, enhancing the subject's presence. The mood is contemplative and serene, portrait, fine lines, negative space, traditional ink wash painting",0.0
393,00393,img_2_1_0102(1985)_Scan_edit.jpg,00393.png,,,,0.0
394,00394,img_3_1_0095.p(615)_Scan_edit.jpg,00394.png,construction vehicle,industrial|detailed|monochrome,"A detailed ink wash painting of a construction vehicle, positioned slightly off-center, viewed from a three-quarter angle. The artist uses precise, dense brush strokes to capture the vehicle's intricate machinery and textures, with subtle gradients highlighting the metal surfaces. The monochrome palette emphasizes the industrial mood, while the negative space around the vehicle adds focus, industrial, detailed, monochrome, traditional ink wash painting",0.0
395,00395,img_1_1_0149(812)_Scan_edit.jpg,00395.png,forest with trees,forest|mist|negative space,"A dense forest scene with towering trees, primarily positioned in the lower half, gradually fading into mist at the top. The brushwork features intricate, fine strokes for foliage and trunks, with varying ink densities creating depth and texture. The use of negative space enhances the ethereal atmosphere, suggesting a serene, misty morning, forest, mist, negative space, traditional ink wash painting",0.0
396,00396,img_2_1_0120.p(5154)_Scan_edit.jpg,00396.png,young woman,portrait|ink wash|delicate brushwork,"A young woman is depicted in a three-quarter view, centered in the composition. The ink wash technique uses soft gradients and delicate brush strokes to capture the intricate details of her lace-patterned dress and flowing hair. The monochrome palette and subtle shading create a serene and contemplative atmosphere, portrait, ink wash, delicate brushwork, traditional ink wash painting",0.0
397,00397,img_2_1_0165.p(1486)_Scan_edit.jpg,00397.png,young person's portrait,portrait|ink wash|monochrome,"A close-up portrait of a young person, centered and facing forward. The ink wash technique uses varied brush strokes to create depth and texture, with dense ink for the hair and lighter washes for the skin, capturing a contemplative expression. The monochrome palette enhances the emotional intensity, with subtle gradients adding softness to the features, portrait, ink wash, monochrome, traditional ink wash painting",0.0
398,00398,img_1_1_0275(5233)_Scan_edit.jpg,00398.png,lighthouse on rocky shore,ink wash|detailed lines|serene,"A tall lighthouse stands prominently on a rocky shoreline, viewed from a low angle. The ink wash technique uses fine, controlled lines to detail the lighthouse and jagged rocks, with subtle gradients suggesting the sea's texture. The composition emphasizes the lighthouse's height against the expansive sky, creating a serene and isolated atmosphere, ink wash, detailed lines, serene, traditional ink wash painting",0.0
399,00399,img_3_1_0026(407)_Scan_edit.jpg,00399.png,hammer,minimalist|line work|negative space,"A hammer is depicted diagonally across the canvas, with detailed line work emphasizing its form. The ink strokes are precise and controlled, highlighting the tool's metallic texture and grip. The composition uses negative space effectively, creating a minimalist and focused atmosphere, minimalist, line work, negative space, traditional ink wash painting",0.0
400,00400,img_1_1_0420(6738)_Scan_edit.jpg,00400.png,solitary tree and mountains,landscape|ink wash|serene,"A solitary tree stands prominently in the foreground, its branches extending gracefully against a backdrop of distant mountains. The ink wash technique showcases delicate brush strokes for the foliage and bold lines for the trunk, with subtle gradients creating depth in the landscape. The mood is serene and contemplative, with soft clouds adding to the tranquil atmosphere, landscape, ink wash, serene, traditional ink wash painting",0.0
401,00401,img_2_1_0116.p(2306)_Scan_edit.jpg,00401.png,,,,0.0
402,00402,img_1_1_0393(6604)_Scan_edit.jpg,00402.png,landscape with mountains and lake,landscape|ink wash|serene,"A serene landscape with mountains in the background and trees lining a reflective lake in the foreground. The composition uses soft, flowing brush strokes to depict the trees and water, with varying ink densities creating depth and texture. The mountains are rendered with lighter washes, enhancing the tranquil atmosphere, landscape, ink wash, serene, traditional ink wash painting",0.0
403,00403,img_3_1_0014.p(443)_Scan_edit.jpg,00403.png,glass bottle,minimalism|line work|negative space,"A solitary glass bottle is centered in the composition, depicted with delicate, precise ink lines. The brushwork emphasizes the bottle's contours and transparency, using varied line thickness to suggest depth and form. The minimalistic approach and use of negative space create a contemplative and serene atmosphere, minimalism, line work, negative space, traditional ink wash painting",0.0
404,00404,img_3_1_0548(2964)_Scan_edit.jpg,00404.png,flower bouquet in vase,still life|ink wash|tranquil,"A still life composition featuring a bouquet of flowers in a vase, centrally placed with surrounding natural elements like stones and leaves. The ink wash technique uses varied brush strokes, with dense ink for the flowers and lighter washes for the vase and background. The artwork conveys a tranquil and harmonious atmosphere, still life, ink wash, tranquil, traditional ink wash painting",0.0
405,00405,img_2_1_0160(2499)_Scan_edit.jpg,00405.png,mother and baby,ink wash|soft brushwork|monochrome,"A mother cradling her baby in her arms, centered in the composition. The ink wash painting uses soft, flowing brush strokes to depict the gentle embrace, with subtle gradients highlighting the contours of the figures. The monochrome palette enhances the serene and tender atmosphere, with delicate line work emphasizing the intimate connection, ink wash, soft brushwork, monochrome, traditional ink wash painting",0.0
406,00406,img_1_1_0006.p(226)_Scan_edit.jpg,00406.png,solitary pine tree,monochrome|detailed brushwork|tranquil,"A solitary pine tree extends horizontally from a rocky cliff, its branches reaching into the open sky. The brushwork is detailed, with fine strokes depicting the needles and textured bark, while the background features soft, misty mountains created with light ink washes. The composition conveys a sense of tranquility and resilience, monochrome, detailed brushwork, tranquil, traditional ink wash painting",0.0
407,00407,img_3_1_0417(5110)_Scan_edit.jpg,00407.png,box of cookies,minimalistic|controlled brushwork|negative space,"A box of cookies is depicted from a top-down perspective, with neatly arranged rows inside. The ink wash technique uses fine, controlled brush strokes to outline the box and cookies, with subtle variations in ink density to suggest texture. The composition is minimalistic, utilizing negative space to focus attention on the subject, creating a calm and orderly atmosphere, minimalistic, controlled brushwork, negative space, traditional ink wash painting",0.0
408,00408,img_2_1_0423(2669)_Scan_edit.jpg,00408.png,young girl,portrait|fine lines|negative space,"A young girl is depicted in the center with delicate ink lines capturing her facial features and flowing hair. The striped pattern of her shirt is rendered with fine, controlled strokes. The use of negative space highlights her expression, creating a serene and gentle atmosphere, portrait, fine lines, negative space, traditional ink wash painting",0.0
409,00409,img_3_1_0513(1767)_Scan_edit.jpg,00409.png,bowling ball and pins,bold strokes|ink gradients|monochrome,"A bowling ball and six pins are arranged in a triangular formation, viewed from the front. The ink wash technique uses bold, dark strokes for the ball and pins, with subtle gradients to suggest reflections and shadows. The composition creates a dynamic tension, with the ball appearing ready to strike. The monochrome palette adds a sense of anticipation, bold strokes, ink gradients, monochrome, traditional ink wash painting",0.0
410,00410,img_3_1_0432(379)_Scan_edit.jpg,00410.png,Lizard with spiraled tail,detailed|negative space|textured,"A lizard with a spiraled tail is centered in the composition, depicted in profile view. The artist uses fine, detailed brush strokes to capture the texture of the lizard's skin, with varying ink densities to highlight its form. The background is left as negative space, enhancing the focus on the subject. The mood is calm and observational, detailed, negative space, textured, traditional ink wash painting",0.0
411,00411,img_3_1_0111.p(441)_Scan_edit.jpg,00411.png,fruit tart,detailed|textured|balanced,"A detailed ink wash painting of a fruit tart, centered and viewed from above. The strawberries and blueberries are depicted with precise brush strokes, creating a textured surface. The ink varies in density, highlighting the fruit's contours and the tart's crust. The use of negative space enhances the composition, giving it a serene and balanced atmosphere, detailed, textured, balanced, traditional ink wash painting",0.0
412,00412,img_3_1_0462(1912)_Scan_edit.jpg,00412.png,socks with ladybug patterns,ink wash|soft gradients|fabric texture,"Two socks with ladybug patterns are placed diagonally across each other in the foreground. The ink wash technique uses soft gradients and delicate brush strokes to render the fabric texture and playful motifs. The monochrome palette enhances the whimsical yet serene atmosphere, with subtle shading creating depth and dimension, ink wash, soft gradients, fabric texture, traditional ink wash painting",0.0
413,00413,img_2_1_0253(3493)_Scan_edit.jpg,00413.png,young woman in hat,ink wash|fine brushwork|negative space,"A young woman in a relaxed pose, centered in the composition, wearing a hat and casual clothing. The ink wash technique uses fine, delicate brush strokes to outline her features, with subtle gradients adding depth to her hair and clothing. The use of negative space enhances the serene and contemplative mood, ink wash, fine brushwork, negative space, traditional ink wash painting",0.0
414,00414,img_3_1_0532(2005)_Scan_edit.jpg,00414.png,pomegranate with leaves and chestnuts,ink wash|detailed brushwork|natural,"A detailed ink wash painting of a pomegranate surrounded by leaves and chestnuts, centrally placed with a frontal viewpoint. The brushwork is intricate, showcasing dense ink for the pomegranate's texture and lighter washes for the leaves, creating a balanced contrast. The use of negative space enhances the composition, evoking a serene and natural atmosphere, ink wash, detailed brushwork, natural, traditional ink wash painting",0.0
415,00415,img_2_1_0715(2310)_Scan_edit.jpg,00415.png,man in profile with cap,portrait|ink wash|negative space,"A portrait of a man in profile, positioned centrally, wearing a cap and patterned shirt. The ink wash technique uses fine, controlled brush strokes for facial details, with varying ink densities to create depth and texture. The shirt's pattern is rendered with delicate lines, while the background remains a stark negative space, enhancing the contemplative mood, portrait, ink wash, negative space, traditional ink wash painting",0.0
416,00416,img_2_1_0291.p(918)_Scan_edit.jpg,00416.png,child with glasses,portrait|ink wash|negative space,"A young child with large round glasses is depicted in the center, leaning over a book. The ink wash technique uses fine brush strokes for facial details and soft gradients for the clothing, creating a gentle contrast. The use of negative space enhances the focus on the child's curious expression, evoking a sense of innocence and wonder, portrait, ink wash, negative space, traditional ink wash painting",0.0
417,00417,img_2_1_0079(1535)_Scan_edit.jpg,00417.png,,,,0.0
418,00418,img_3_1_0509(1447)_Scan_edit.jpg,00418.png,ballet pointe shoes,ink wash|gradient|negative space,"A pair of ballet pointe shoes is depicted in a dynamic arrangement, with ribbons elegantly entwined. The ink wash technique uses varied brush strokes, creating a soft gradient from light to dark, emphasizing the texture of the shoes. The negative space enhances the delicate and graceful atmosphere of the composition, ink wash, gradient, negative space, traditional ink wash painting",0.0
419,00419,img_2_1_0378(1844)_Scan_edit.jpg,00419.png,elderly man portrait,portrait|detailed|monochrome,"A detailed portrait of an elderly man centered in the composition, showcasing fine ink lines and subtle shading. The artist uses delicate brush strokes to capture facial features and expressions, with a focus on texture in the hair and clothing. The monochrome palette emphasizes the serene and contemplative mood, portrait, detailed, monochrome, traditional ink wash painting",0.0
420,00420,img_1_1_0124.p(769)_Scan_edit.jpg,00420.png,mountains and sea,landscape|ink wash|tranquil,"A serene landscape with distant mountains and a calm sea, viewed from a low vantage point. The ink wash technique uses soft, flowing brush strokes to create gentle gradients in the sky and water, while the mountains are defined with darker, more concentrated ink. The atmosphere is tranquil and contemplative, with a subtle play of light and shadow, landscape, ink wash, tranquil, traditional ink wash painting",0.0
421,00421,img_3_1_0180.p(108)_Scan_edit.jpg,00421.png,bowl of eggs,still life|ink wash|soft gradients,"A bowl of eggs is centrally placed, with one egg resting outside on a textured cloth. The ink wash technique uses soft gradients and subtle shading to create a sense of volume and texture. The brush strokes are delicate, with varying ink density to highlight the eggs' smooth surfaces and the cloth's intricate weave. The atmosphere is calm and serene, still life, ink wash, soft gradients, traditional ink wash painting",0.0
422,00422,img_3_1_0092.p(573)_Scan_edit.jpg,00422.png,vintage biplane,detailed|nostalgic|historical,"A vintage biplane is depicted in profile, centrally placed with detailed ink strokes capturing its structure. The brushwork varies in density, highlighting the aircraft's intricate features and metallic texture. Sparse use of negative space emphasizes the plane's form, creating a sense of nostalgia and historical reverence, detailed, nostalgic, historical, traditional ink wash painting",0.0
423,00423,img_1_1_0153(1229)_Scan_edit.jpg,00423.png,landscape with hills and trees,landscape|ink wash|negative space,"A serene landscape with rolling hills and scattered trees, viewed from a high vantage point. The composition uses layered brush strokes to create depth, with varying ink densities depicting distant mountains and closer foliage. The use of negative space enhances the tranquil atmosphere, while subtle gradients suggest mist enveloping the scene, landscape, ink wash, negative space, traditional ink wash painting",0.0
424,00424,img_2_1_0714(3766)_Scan_edit.jpg,00424.png,,,,0.0
425,00425,img_3_1_0228(145)_Scan_edit.jpg,00425.png,binoculars,realism|detailed|negative space,"A pair of binoculars is centrally placed, depicted with detailed ink wash techniques. The brushwork varies from dense, textured strokes on the lenses to lighter washes on the frame, creating a realistic yet artistic representation. The use of negative space enhances the focus on the binoculars, evoking a sense of curiosity and exploration, realism, detailed, negative space, traditional ink wash painting",0.0
426,00426,img_2_1_0151.p(1068)_Scan_edit.jpg,00426.png,woman with veil,portrait|ink wash|monochrome,"A woman is centrally placed, partially veiled, with a contemplative expression. The ink wash technique uses soft, flowing brush strokes to create the fabric's texture, while delicate lines define facial features. The monochrome palette emphasizes subtle gradients and negative space, evoking a serene and introspective mood, portrait, ink wash, monochrome, traditional ink wash painting",0.0
427,00427,img_3_1_0129(1491)_Scan_edit.jpg,00427.png,classic convertible car,automobile|vintage|ink wash,"A classic convertible car is depicted in a three-quarter view, showcasing its sleek lines and vintage design. The ink wash technique uses smooth, flowing brush strokes with varying ink densities to highlight the car's contours and reflections. The monochrome palette creates a nostalgic and elegant atmosphere, with subtle gradients adding depth and dimension, automobile, vintage, ink wash, traditional ink wash painting",0.0
428,00428,img_3_1_0207.p(26)_Scan_edit.jpg,00428.png,Garlic bulb,monochrome|soft brushwork|negative space,"A garlic bulb is centrally placed, depicted with soft, flowing brush strokes that create a gentle texture. The ink varies in density, highlighting the bulb's contours and layers with subtle gradients. Negative space surrounds the subject, enhancing its simplicity and elegance. The mood is calm and contemplative, monochrome, soft brushwork, negative space, traditional ink wash painting",0.0
429,00429,img_3_1_0166.p(1475)_Scan_edit.jpg,00429.png,lipstick and compact mirror,minimalist|negative space|precise lines,"A minimalist ink wash painting depicting a lipstick standing upright beside an open compact mirror. The composition is centered, with fine, precise brush strokes outlining the objects. The use of negative space emphasizes the simplicity and elegance of the scene, creating a calm and refined atmosphere, minimalist, negative space, precise lines, traditional ink wash painting",0.0
430,00430,img_2_1_0351(718)_Scan_edit.jpg,00430.png,woman in patterned dress,portrait|ink wash|negative space,"A woman in a patterned dress stands gracefully in profile, occupying the center of the composition. The ink wash technique showcases delicate brush strokes for the dress details, with varying ink densities creating depth and texture. The use of negative space highlights her poised stance, evoking a serene and contemplative mood, portrait, ink wash, negative space, traditional ink wash painting",0.0
431,00431,img_1_1_0129(5396)_Scan_edit.jpg,00431.png,coastal landscape,landscape|gradient wash|textured brushwork,"A serene coastal landscape with rugged rocks in the foreground, leading to a calm sea under a vast sky. The composition uses bold, textured brush strokes for the rocks, contrasting with smooth, gradient washes for the water and sky. The ink density varies to create depth and tranquility, with subtle gradients enhancing the horizon, landscape, gradient wash, textured brushwork, traditional ink wash painting",0.0
432,00432,img_3_1_0407(1473)_Scan_edit.jpg,00432.png,snail,detailed|textured|negative space,"A detailed ink wash painting of a snail, centered and viewed from the side. The shell features intricate, dense brush strokes creating a textured spiral pattern, while the body is rendered with lighter, delicate strokes. The use of negative space highlights the snail's form, creating a serene and contemplative atmosphere, detailed, textured, negative space, traditional ink wash painting",0.0
433,00433,img_1_1_0280(7015)_Scan_edit.jpg,00433.png,mountain landscape,landscape|ink wash|tranquil,"Mountain landscape with a serene lake in the foreground, viewed from a low vantage point. The mountains are rendered with bold, sweeping brush strokes, creating a sense of grandeur and depth. The ink wash technique varies from dense blacks to soft grays, capturing the texture of the terrain. The atmosphere is tranquil and contemplative, landscape, ink wash, tranquil, traditional ink wash painting",0.0
